model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_174929_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_174929_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,5.0,0.598,,,,,,0.598
Claude Sonnet,cd_cd_ai_partial_deterministic_20260608_174929_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,4.75,0.585,,,,,,0.585
GPT-4o,cd_cd_ai_partial_deterministic_20260608_174929_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.3,,,,,,0.3
GPT-4o-mini,cd_cd_ai_partial_deterministic_20260608_174929_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,1.375,0.0805,,,,,,0.0805
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_174929_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.825,,,,,,0.825
Gemini 2.5 Flash Lite,cd_cd_ai_partial_deterministic_20260608_174929_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175235_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.745,,,,,,0.745
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175235_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175235_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.745,,,,,,0.745
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175235_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.41,,,,,,0.41
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175235_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,2.225,0.14,,,,,,0.14
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175235_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.95,0.9,,,,,,0.9
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175235_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,5.0,0.625,,,,,,0.625
Claude Sonnet,cd_cd_ai_partial_deterministic_20260608_175235_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,4.7,0.57,,,,,,0.57
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175235_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.165,,,,,,0.165
GPT-4o-mini,cd_cd_ai_partial_deterministic_20260608_175235_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,0.75,0.108,,,,,,0.108
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175235_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.825,,,,,,0.825
Gemini 2.5 Flash Lite,cd_cd_ai_partial_deterministic_20260608_175235_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175628_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.745,,,,,,0.745
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175628_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175628_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.745,,,,,,0.745
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175628_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.825,,,,,,0.825
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175628_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175628_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.59,,,,,,0.59
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175628_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,5.0455,0.6409,,,,,,0.6409
Claude Sonnet,cd_cd_ai_partial_deterministic_20260608_175628_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,4.6818,0.4864,,,,,,0.4864
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175628_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_deterministic_20260608_175628_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175628_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,7.5,0.164,,,,,,0.164
Gemini 2.5 Flash Lite,cd_cd_ai_partial_deterministic_20260608_175628_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,0.85,0.0635,,,,,,0.0635
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175925_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.745,,,,,,0.745
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175925_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175925_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.565,,,,,,0.565
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175925_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,4.85,0.795,,,,,,0.795
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175925_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175925_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.825,,,,,,0.825
Claude Opus,cd_cd_ai_partial_deterministic_20260608_175925_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,5.0,0.6227,,,,,,0.6227
Claude Sonnet,cd_cd_ai_partial_deterministic_20260608_175925_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,4.6818,0.5091,,,,,,0.5091
GPT-4o,cd_cd_ai_partial_deterministic_20260608_175925_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.23,,,,,,0.23
GPT-4o-mini,cd_cd_ai_partial_deterministic_20260608_175925_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,0.9,0.1075,,,,,,0.1075
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_175925_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.825,,,,,,0.825
Gemini 2.5 Flash Lite,cd_cd_ai_partial_deterministic_20260608_175925_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_180341_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.755,,,,,,0.755
GPT-4o,cd_cd_ai_partial_deterministic_20260608_180341_1,ai,CD,Claude Opus vs GPT-4o,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_deterministic_20260608_180341_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.745,,,,,,0.745
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_180341_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.59,,,,,,0.59
GPT-4o,cd_cd_ai_partial_deterministic_20260608_180341_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_180341_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,deterministic,5.0,0.73,,,,,,0.73
Claude Opus,cd_cd_ai_partial_deterministic_20260608_180341_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,5.0,0.595,,,,,,0.595
Claude Sonnet,cd_cd_ai_partial_deterministic_20260608_180341_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,deterministic,4.75,0.585,,,,,,0.585
GPT-4o,cd_cd_ai_partial_deterministic_20260608_180341_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,5.0,0.325,,,,,,0.325
GPT-4o-mini,cd_cd_ai_partial_deterministic_20260608_180341_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,deterministic,1.375,0.109,,,,,,0.109
Gemini 2.5 Flash,cd_cd_ai_partial_deterministic_20260608_180341_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.59,,,,,,0.59
Gemini 2.5 Flash Lite,cd_cd_ai_partial_deterministic_20260608_180341_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104554_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.675,,,,,,0.675
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104554_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104554_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.675,,,,,,0.675
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104554_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.75,,,,,,0.75
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104554_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104554_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.595,,,,,,0.595
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104554_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.6036,,,,,,0.6036
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260604_104554_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.75,0.575,,,,,,0.575
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104554_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.165,,,,,,0.165
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260604_104554_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,0.775,0.0775,,,,,,0.0775
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104554_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,6.5714,0.6786,,,,,,0.6786
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260604_104554_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,6.0714,0.2929,,,,,,0.2929
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104921_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7769,,,,,,0.7769
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104921_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104921_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,6.9167,0.255,,,,,,0.255
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104921_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,7.5,0.3833,,,,,,0.3833
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104921_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,2.625,0.55,,,,,,0.55
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104921_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.375,0.85,,,,,,0.85
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_104921_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.625,,,,,,0.625
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260604_104921_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.7,0.57,,,,,,0.57
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_104921_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260604_104921_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_104921_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260604_104921_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105249_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7545,,,,,,0.7545
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105249_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105249_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.7933,,,,,,0.7933
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105249_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.7733,,,,,,0.7733
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105249_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,3.2,0.305,,,,,,0.305
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105249_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,6.5,0.745,,,,,,0.745
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105249_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.6222,,,,,,0.6222
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260604_105249_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.6667,0.5278,,,,,,0.5278
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105249_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260604_105249_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105249_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.8,,,,,,0.8
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260604_105249_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105603_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7333,,,,,,0.7333
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105603_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105603_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,6.8,0.276,,,,,,0.276
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105603_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,7.5,0.53,,,,,,0.53
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105603_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105603_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8077,,,,,,0.8077
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105603_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.6308,,,,,,0.6308
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260604_105603_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.7692,0.5769,,,,,,0.5769
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105603_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260604_105603_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105603_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.6786,,,,,,0.6786
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260604_105603_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105909_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7545,,,,,,0.7545
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105909_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105909_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8059,,,,,,0.8059
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105909_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105909_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105909_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8222,,,,,,0.8222
Claude Opus,cd_cd_ai_partial_probabilistic_20260604_105909_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.6308,,,,,,0.6308
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260604_105909_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.7692,0.5846,,,,,,0.5846
GPT-4o,cd_cd_ai_partial_probabilistic_20260604_105909_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260604_105909_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260604_105909_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.4889,,,,,,0.4889
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260604_105909_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192218_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.745,,,,,,0.745
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192218_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192218_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.7885,,,,,,0.7885
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192218_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8231,,,,,,0.8231
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192218_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192218_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8458,,,,,,0.8458
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192218_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.5869,,,,,,0.5869
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260608_192218_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.8077,0.6,,,,,,0.6
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192218_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.325,,,,,,0.325
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260608_192218_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,1.375,0.22,,,,,,0.22
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192218_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.8367,,,,,,0.8367
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260608_192218_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192612_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7333,,,,,,0.7333
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192612_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192612_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.2,0.635,,,,,,0.635
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192612_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.1,0.53,,,,,,0.53
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192612_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192612_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8533,,,,,,0.8533
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192612_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.595,,,,,,0.595
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260608_192612_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.75,0.585,,,,,,0.585
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192612_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260608_192612_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192612_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.6917,,,,,,0.6917
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260608_192612_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192847_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.7667,,,,,,0.7667
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192847_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192847_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,6.9167,0.255,,,,,,0.255
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192847_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,7.5,0.475,,,,,,0.475
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192847_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192847_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_192847_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.6333,,,,,,0.6333
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260608_192847_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.8,0.58,,,,,,0.58
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_192847_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.325,,,,,,0.325
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260608_192847_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,1.375,0.109,,,,,,0.109
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_192847_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.7938,,,,,,0.7938
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260608_192847_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193142_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.82,,,,,,0.82
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193142_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
