model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Claude Sonnet,ct_cheap_talk_results_20260510_140437_13,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_13,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_14,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,0.5,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_14,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,0.5,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_15,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_15,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_16,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_16,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_17,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_17,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_18,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_18,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_19,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_19,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_2,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.3,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_2,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.3,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_20,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_20,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_21,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_21,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_22,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_22,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_23,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_23,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_24,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_24,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_25,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_25,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_26,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.6,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_26,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.6,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_27,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_27,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_28,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,0.6,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_28,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,0.6,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_29,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_29,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_3,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_3,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_30,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.4,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_30,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.4,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_31,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_31,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_32,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_32,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_33,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_33,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_34,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_34,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_35,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_35,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_36,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_36,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_37,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_37,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_38,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,0.6,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_38,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,0.6,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_39,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_39,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_4,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.6,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_4,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.6,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_40,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_40,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_41,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_41,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_42,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_42,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_43,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_43,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_44,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_44,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_45,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_45,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_46,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_46,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_47,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_47,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_48,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,sender,0.3,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_48,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,receiver,0.3,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_49,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_49,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_5,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_5,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_50,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_50,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_51,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_51,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_52,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,sender,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_52,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,receiver,0.4,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_53,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_53,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_54,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.5,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_54,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.5,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_55,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_55,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_56,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_56,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_57,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_57,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_58,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_58,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_59,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_59,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_6,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_6,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_60,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,sender,0.5,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_60,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,receiver,0.5,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_61,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_61,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_62,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.8,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_62,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.8,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_63,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_63,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_64,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_64,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_65,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_65,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_66,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.6,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_66,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.6,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_67,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_67,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_68,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,0.8,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_68,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,0.8,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_69,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_69,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_7,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_7,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_70,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_70,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_71,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_71,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_72,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,0.2,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_72,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,0.2,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_73,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_73,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_74,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_74,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_75,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_75,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_76,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,0.9,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_76,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,0.9,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_77,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_77,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260510_140437_78,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_78,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_79,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_79,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_8,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,0.7,,,,,
Claude Opus,ct_cheap_talk_results_20260510_140437_8,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,0.7,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_80,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_80,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_81,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_81,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_82,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.8,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_82,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.8,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_83,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_83,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_84,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_84,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_85,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_85,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_86,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.9,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_86,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.9,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_87,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_87,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260510_140437_88,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_88,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_89,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_89,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260510_140437_9,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_9,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260510_140437_90,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260510_140437_90,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7,,,,,
